nrpolizza;DENOM_PRODOTTO;Cod. Agenzia;Riscatto;dtdatarif liquidato;Classificazione;Tipo_premio;Antidurata;Anno dec;IBRIDO/altro;Famiglia Prodotto;Antidurata arrotondata;Periodo di osservazione
011034559;POLIZZA RIELLO;;2.199,88;1/11/2024;Uscita definitiva;PU;20;1999;di cui altro;Altro;15-20+;2.024
011034631;POLIZZA RIELLO;;754,13;1/5/2024;Uscita definitiva;PU;20;1999;di cui altro;Altro;15-20+;2.024
011055421;POLIZZA RIELLO;;1.611,90;1/11/2024;Uscita definitiva;PU;20;1999;di cui altro;Altro;15-20+;2.024
011074428;POLIZZA RIELLO;;4.092,61;1/11/2024;Uscita definitiva;PU;20;1999;di cui altro;Altro;15-20+;2.024
012001617;ALTAQUOTA;;3.025,04;1/3/2024;Uscita definitiva;PU;20;1999;di cui altro;Altro;15-20+;2.024
012001643;ALTAQUOTA;;12.549,38;1/11/2024;Uscita definitiva;PU;20;1999;di cui altro;Altro;15-20+;2.024
012003409;ALTAQUOTA;;5.347,73;1/3/2024;Uscita definitiva;PU;20;1999;di cui altro;Altro;15-20+;2.024
012004309;ALTAQUOTA;;6.928,38;1/2/2024;Uscita definitiva;PU;20;1999;di cui altro;Altro;15-20+;2.024
012006336;ALTAQUOTA;;5.946,15;1/1/2024;Uscita definitiva;PU;20;1999;di cui altro;Altro;15-20+;2.024
012007275;ALTAQUOTA;;7.765,25;1/6/2024;Uscita definitiva;PU;20;1999;di cui altro;Altro;15-20+;2.024
012007589;ALTAQUOTA;;7.877,08;1/8/2024;Uscita definitiva;PU;20;1999;di cui altro;Altro;15-20+;2.024
012012829;ALTAQUOTA;;5.952,71;1/1/2024;Uscita definitiva;PU;20;1999;di cui altro;Altro;15-20+;2.024
012014120;ALTAQUOTA;;4.163,74;1/2/2024;Uscita definitiva;PU;20;1999;di cui altro;Altro;15-20+;2.024
012015242;ALTAQUOTA;;3.812,63;1/2/2024;Uscita definitiva;PU;20;1999;di cui altro;Altro;15-20+;2.024
012016828;ALTAQUOTA;;17.507,40;1/2/2024;Uscita definitiva;PU;20;1999;di cui altro;Altro;15-20+;2.024
012016886;ALTAQUOTA;;3.836,01;1/4/2024;Uscita definitiva;PU;20;1999;di cui altro;Altro;15-20+;2.024
012017450;ALTAQUOTA;;3.060,34;1/11/2024;Uscita definitiva;PU;20;1999;di cui altro;Altro;15-20+;2.024
012018531;ALTAQUOTA;;6.859,56;1/3/2024;Uscita definitiva;PU;20;1999;di cui altro;Altro;15-20+;2.024
012019068;ALTAQUOTA;;2.934,40;1/6/2024;Uscita definitiva;PU;20;1999;di cui altro;Altro;15-20+;2.024
012020968;ALTAQUOTA;;2.999,68;1/11/2024;Uscita definitiva;PU;20;1999;di cui altro;Altro;15-20+;2.024
012021260;ALTAQUOTA;;8.630,67;1/6/2024;Uscita definitiva;PU;20;1999;di cui altro;Altro;15-20+;2.024
012024519;ALTAQUOTA;;2.811,75;1/5/2024;Uscita definitiva;PU;20;1999;di cui altro;Altro;15-20+;2.024
012027105;ALTAQUOTA;;5.576,64;1/3/2024;Uscita definitiva;PU;20;1999;di cui altro;Altro;15-20+;2.024
012027779;ALTAQUOTA;;5.640,72;1/7/2024;Uscita definitiva;PU;20;1999;di cui altro;Altro;15-20+;2.024
012027780;ALTAQUOTA;;5.691,79;1/9/2024;Uscita definitiva;PU;20;1999;di cui altro;Altro;15-20+;2.024
012027849;ALTAQUOTA;;2.837,16;1/9/2024;Uscita definitiva;PU;20;1999;di cui altro;Altro;15-20+;2.024
012027851;ALTAQUOTA;;2.818,04;1/8/2024;Uscita definitiva;PU;20;1999;di cui altro;Altro;15-20+;2.024
012028155;ALTAQUOTA;;2.816,57;1/8/2024;Uscita definitiva;PU;20;1999;di cui altro;Altro;15-20+;2.024
012029436;ALTAQUOTA;;2.800,72;1/4/2024;Uscita definitiva;PU;20;1999;di cui altro;Altro;15-20+;2.024
012032564;ALTAQUOTA;;3.620,97;1/2/2024;Uscita definitiva;PU;20;1999;di cui altro;Altro;15-20+;2.024
012032736;ALTAQUOTA;;2.773,90;1/3/2024;Uscita definitiva;PU;20;1999;di cui altro;Altro;15-20+;2.024
012033172;ALTAQUOTA;;4.994,92;1/6/2024;Uscita definitiva;PU;20;1999;di cui altro;Altro;15-20+;2.024
012033784;ALTAQUOTA;;2.802,85;1/3/2024;Uscita definitiva;PU;20;1999;di cui altro;Altro;15-20+;2.024
012033933;ALTAQUOTA;;3.665,27;1/6/2024;Uscita definitiva;PU;20;1999;di cui altro;Altro;15-20+;2.024
012034839;ALTAQUOTA;;2.943,55;1/12/2024;Uscita definitiva;PU;20;1999;di cui altro;Altro;15-20+;2.024
012034904;ALTAQUOTA;;14.389,97;1/2/2024;Uscita definitiva;PU;20;1999;di cui altro;Altro;15-20+;2.024
012035212;ALTAQUOTA;;2.812,99;1/4/2024;Uscita definitiva;PU;20;1999;di cui altro;Altro;15-20+;2.024
012040811;ALTAQUOTA;;11.324,80;1/3/2024;Uscita definitiva;PU;20;1999;di cui altro;Altro;15-20+;2.024
012040848;ALTAQUOTA;;5.781,20;1/11/2024;Uscita definitiva;PU;20;1999;di cui altro;Altro;15-20+;2.024
012041897;ALTAQUOTA;;7.087,92;1/2/2024;Uscita definitiva;PU;20;1999;di cui altro;Altro;15-20+;2.024
012043419;ALTAQUOTA;;23.149,76;1/1/2024;Uscita definitiva;PU;20;1999;di cui altro;Altro;15-20+;2.024
012043523;ALTAQUOTA;;5.723,04;1/5/2024;Uscita definitiva;PU;20;1999;di cui altro;Altro;15-20+;2.024
012044434;ALTAQUOTA;;7.025,20;1/3/2024;Uscita definitiva;PU;20;1999;di cui altro;Altro;15-20+;2.024
012044507;ALTAQUOTA;;5.667,14;1/5/2024;Uscita definitiva;PU;20;1999;di cui altro;Altro;15-20+;2.024
012044946;ALTAQUOTA;;3.715,84;1/7/2024;Uscita definitiva;PU;20;1999;di cui altro;Altro;15-20+;2.024
012048869;ALTAQUOTA;;3.078,51;1/7/2024;Uscita definitiva;PU;20;1999;di cui altro;Altro;15-20+;2.024
012051445;ALTAQUOTA;;7.606,53;1/3/2024;Uscita definitiva;PU;20;1999;di cui altro;Altro;15-20+;2.024
012051512;ALTAQUOTA;;3.622,77;1/5/2024;Uscita definitiva;PU;20;1999;di cui altro;Altro;15-20+;2.024
012052079;ALTAQUOTA;;3.228,19;1/6/2024;Uscita definitiva;PU;20;1999;di cui altro;Altro;15-20+;2.024
012052382;ALTAQUOTA;;6.005,23;1/3/2024;Uscita definitiva;PU;20;1999;di cui altro;Altro;15-20+;2.024
012052425;ALTAQUOTA;;3.767,74;1/5/2024;Uscita definitiva;PU;20;1999;di cui altro;Altro;15-20+;2.024
012052642;ALTAQUOTA;;1.510,46;1/3/2024;Uscita definitiva;PU;20;1999;di cui altro;Altro;15-20+;2.024
012052650;ALTAQUOTA;;3.103,34;1/5/2024;Uscita definitiva;PU;20;1999;di cui altro;Altro;15-20+;2.024
015003894;ALLEUNIT;;9.118,79;1/8/2024;Uscita definitiva;PU;20;1999;di cui altro;Altro;15-20+;2.024
015004647;ALLEUNIT;;17.774,28;1/7/2024;Uscita definitiva;PU;20;1999;di cui altro;Altro;15-20+;2.024
015006615;ALLEUNIT;;7.971,81;1/5/2024;Uscita definitiva;PU;20;1999;di cui altro;Altro;15-20+;2.024
015007641;ALLEUNIT;;23.194,63;1/2/2024;Uscita definitiva;PU;20;1999;di cui altro;Altro;15-20+;2.024
015007955;ALLEUNIT;;18.374,53;1/7/2024;Uscita definitiva;PU;20;1999;di cui altro;Altro;15-20+;2.024
015007966;ALLEUNIT;;6.875,39;1/10/2024;Uscita definitiva;PU;20;1999;di cui altro;Altro;15-20+;2.024
015008220;ALLEUNIT;;5.593,72;1/4/2024;Uscita definitiva;PU;20;1999;di cui altro;Altro;15-20+;2.024
023977532;Extra di Alleanza;;2,61;1/2/2024;Uscita definitiva;PR;20;1999;di cui Ibridi;Extra;15-20+;2.024
024006010;Extra di Alleanza;;275,01;1/2/2024;Uscita definitiva;PR;20;1999;di cui Ibridi;Extra;15-20+;2.024
024884178;Valore EverGreen;;295,96;1/12/2024;Uscita definitiva;PU;10;2014;di cui Ibridi;Valore EverGreen;ott-15;2.024
024884206;Valore EverGreen;;35,39;1/11/2024;Uscita definitiva;PU;10;2014;di cui Ibridi;Valore EverGreen;ott-15;2.024
024884294;Valore EverGreen;;35,72;1/11/2024;Uscita definitiva;PU;10;2014;di cui Ibridi;Valore EverGreen;ott-15;2.024
024884388;Valore EverGreen;;364,09;1/11/2024;Uscita definitiva;PU;10;2014;di cui Ibridi;Valore EverGreen;ott-15;2.024
024884425;Valore EverGreen;;35,75;1/11/2024;Uscita definitiva;PU;10;2014;di cui Ibridi;Valore EverGreen;ott-15;2.024
024884462;Valore EverGreen;;70,95;1/11/2024;Uscita definitiva;PU;10;2014;di cui Ibridi;Valore EverGreen;ott-15;2.024
024884546;Valore EverGreen;;638,21;1/12/2024;Uscita definitiva;PU;10;2014;di cui Ibridi;Valore EverGreen;ott-15;2.024
024884580;Valore EverGreen;;183,04;1/11/2024;Uscita definitiva;PU;10;2014;di cui Ibridi;Valore EverGreen;ott-15;2.024
024884619;Valore EverGreen;;35,67;1/11/2024;Uscita definitiva;PU;10;2014;di cui Ibridi;Valore EverGreen;ott-15;2.024
024884636;Valore EverGreen;;278,29;1/11/2024;Uscita definitiva;PU;10;2014;di cui Ibridi;Valore EverGreen;ott-15;2.024
024884733;Valore EverGreen;;72,55;1/11/2024;Uscita definitiva;PU;10;2014;di cui Ibridi;Valore EverGreen;ott-15;2.024
024884748;Valore EverGreen;;35,73;1/11/2024;Uscita definitiva;PU;10;2014;di cui Ibridi;Valore EverGreen;ott-15;2.024
024884912;Valore EverGreen;;72,37;1/11/2024;Uscita definitiva;PU;10;2014;di cui Ibridi;Valore EverGreen;ott-15;2.024
024884970;Valore EverGreen;;119,14;1/11/2024;Uscita definitiva;PU;10;2014;di cui Ibridi;Valore EverGreen;ott-15;2.024
024884985;Valore EverGreen;;363,78;1/11/2024;Uscita definitiva;PU;10;2014;di cui Ibridi;Valore EverGreen;ott-15;2.024
024885057;Valore EverGreen;;71,82;1/11/2024;Uscita definitiva;PU;10;2014;di cui Ibridi;Valore EverGreen;ott-15;2.024
024885301;Valore EverGreen;;1.129,57;1/11/2024;Uscita definitiva;PU;10;2014;di cui Ibridi;Valore EverGreen;ott-15;2.024
024886146;Valore EverGreen;;105,37;1/12/2024;Uscita definitiva;PU;10;2014;di cui Ibridi;Valore EverGreen;ott-15;2.024
024886435;Valore EverGreen;;262,26;1/11/2024;Uscita definitiva;PU;10;2014;di cui Ibridi;Valore EverGreen;ott-15;2.024
024887833;Reinvesto EverGreen;;181,2;1/12/2024;Uscita definitiva;PU;10;2014;di cui Ibridi;Reinvesto EverGreen;ott-15;2.024
024887877;Valore EverGreen;;35,58;1/11/2024;Uscita definitiva;PU;10;2014;di cui Ibridi;Valore EverGreen;ott-15;2.024
024888361;Valore EverGreen;;107,76;1/11/2024;Uscita definitiva;PU;10;2014;di cui Ibridi;Valore EverGreen;ott-15;2.024
024888393;Valore EverGreen;;730,04;1/11/2024;Uscita definitiva;PU;10;2014;di cui Ibridi;Valore EverGreen;ott-15;2.024
024888619;Valore EverGreen;;122,86;1/12/2024;Uscita definitiva;PU;10;2014;di cui Ibridi;Valore EverGreen;ott-15;2.024
024889087;Valore EverGreen;;327,5;1/11/2024;Uscita definitiva;PU;10;2014;di cui Ibridi;Valore EverGreen;ott-15;2.024
024889913;Valore EverGreen;;182,97;1/12/2024;Uscita definitiva;PU;10;2014;di cui Ibridi;Valore EverGreen;ott-15;2.024
024890864;Valore EverGreen;;2.009,09;1/12/2024;Uscita definitiva;PU;10;2014;di cui Ibridi;Valore EverGreen;ott-15;2.024
024890968;Valore EverGreen;;224,61;1/11/2024;Uscita definitiva;PU;10;2014;di cui Ibridi;Valore EverGreen;ott-15;2.024
024890997;Valore EverGreen;;205,48;1/11/2024;Uscita definitiva;PU;10;2014;di cui Ibridi;Valore EverGreen;ott-15;2.024
024891285;Reinvesto EverGreen;;217,94;1/11/2024;Uscita definitiva;PU;10;2014;di cui Ibridi;Reinvesto EverGreen;ott-15;2.024
024891764;Valore EverGreen;;84,93;1/11/2024;Uscita definitiva;PU;10;2014;di cui Ibridi;Valore EverGreen;ott-15;2.024
