cod fisc;nrpolizza;DENOM_PRODOTTO;Cod. Agenzia;Riscatto;dtdatarif liquidato;Classificazione;Tipo_premio;Antidurata;Anno dec;IBRIDO/altro;Range antid;Famiglia Prodotto;Antidurata arrotondata;Periodo di Osservazione
;011074327;POLIZZA RIELLO;;4.245,56;1/3/2025;Uscita definitiva;PU;20;1999;di cui altro;10+;Altro;15-20+;2.025
;011074459;POLIZZA RIELLO;;1.742,93;1/4/2025;Uscita definitiva;PU;20;1999;di cui altro;10+;Altro;15-20+;2.025
;012002171;ALTAQUOTA;;7.201,09;1/3/2025;Uscita definitiva;PU;20;1999;di cui altro;10+;Altro;15-20+;2.025
;012003580;ALTAQUOTA;;8.203,32;1/1/2025;Uscita definitiva;PU;20;1999;di cui altro;10+;Altro;15-20+;2.025
;012007547;ALTAQUOTA;;3.979,03;1/4/2025;Uscita definitiva;PU;20;1999;di cui altro;10+;Altro;15-20+;2.025
;012012537;ALTAQUOTA;;6.468,60;1/2/2025;Uscita definitiva;PU;20;1999;di cui altro;10+;Altro;15-20+;2.025
;012016602;ALTAQUOTA;;12.050,86;1/1/2025;Uscita definitiva;PU;20;1999;di cui altro;10+;Altro;15-20+;2.025
;012017732;ALTAQUOTA;;3.072,54;1/2/2025;Uscita definitiva;PU;20;1999;di cui altro;10+;Altro;15-20+;2.025
;012018400;ALTAQUOTA;;6.656,32;1/3/2025;Uscita definitiva;PU;20;1999;di cui altro;10+;Altro;15-20+;2.025
;012044316;ALTAQUOTA;;6.852,19;1/3/2025;Uscita definitiva;PU;20;1999;di cui altro;10+;Altro;15-20+;2.025
;012044333;ALTAQUOTA;;7.161,81;1/2/2025;Uscita definitiva;PU;20;1999;di cui altro;10+;Altro;15-20+;2.025
;012044592;ALTAQUOTA;;3.879,02;1/1/2025;Uscita definitiva;PU;20;1999;di cui altro;10+;Altro;15-20+;2.025
;012045262;ALTAQUOTA;;3.167,71;1/3/2025;Uscita definitiva;PU;20;1999;di cui altro;10+;Altro;15-20+;2.025
;012045382;ALTAQUOTA;;3.152,65;1/3/2025;Uscita definitiva;PU;20;1999;di cui altro;10+;Altro;15-20+;2.025
;012047097;ALTAQUOTA;;4.224,07;1/1/2025;Uscita definitiva;PU;20;1999;di cui altro;10+;Altro;15-20+;2.025
;012051341;ALTAQUOTA;;6.632,45;1/3/2025;Uscita definitiva;PU;20;1999;di cui altro;10+;Altro;15-20+;2.025
;012051358;ALTAQUOTA;;4.946,46;1/2/2025;Uscita definitiva;PU;20;1999;di cui altro;10+;Altro;15-20+;2.025
;012052312;ALTAQUOTA;;4.196,53;1/3/2025;Uscita definitiva;PU;20;1999;di cui altro;10+;Altro;15-20+;2.025
;012052324;ALTAQUOTA;;5.838,32;1/2/2025;Uscita definitiva;PU;20;1999;di cui altro;10+;Altro;15-20+;2.025
